ma_xa;ten_xa;loai;ma_huyen;ten_huyen;dan_so;Income(mil. VND);pop_serve(after);pop_serve_air(after);%serve;LOS;;Income;;;;dan_so (person);Income (Mil. VND);LOS;;;;;;;;;;;;;;;;;;;;;;
22462;Cam Thành Bắc;Xã;570;Cam Lâm;16801;143,9805;8996;10529;53,5%;E;;higher-middle income;;;;16801;143,9805;E;;;;;;;;;;;;;;;;;;;;;;
22447;Sơn Tân;Xã;570;Cam Lâm;407;147,8500625;0;0;0,0%;F;;higher-middle income;;;;407;147,8500625;F;;;;;;;;;;;;;;;;;;;;;;
22708;Suối Cát;Xã;570;Cam Lâm;8274;147,8500625;2500;3045;30,2%;F;;higher-middle income;;;;8274;147,8500625;F;;;;;;;;;;;;;;;;;;;;;;
22711;Suối Tân;Xã;570;Cam Lâm;10813;147,8500625;3749;4606;34,7%;F;;higher-middle income;;;;10813;147,8500625;F;;;;;;;;;;;;;;;;;;;;;;
22492;Đại Lãnh;Xã;571;Vạn Ninh;6501;100,748708333333;4726;4935;72,7%;C;;higher-middle income;;;;6501;100,748708333333;C;;;;;;;;;;;;;;;;;;;;;;
22501;Vạn Bình;Xã;571;Vạn Ninh;7705;129,815125;2224;2769;28,9%;F;;higher-middle income;;;;7705;129,815125;F;;;;;;;;;;;;;;;;;;;;;;
22489;Vạn Giã;Thị trấn;571;Vạn Ninh;24299;87,904;21935;21853;90,3%;A;;low-income;;;;24299;87,904;A;;;;;;;;;;;;;;;;;;;;;;
22525;Vạn Hưng;Xã;571;Vạn Ninh;14351;100,748708333333;8371;8954;58,3%;E;;higher-middle income;;;;14351;100,748708333333;E;;;;;;;;;;;;;;;;;;;;;;
22507;Vạn Khánh;Xã;571;Vạn Ninh;7916;100,748708333333;498;571;6,3%;F;;higher-middle income;;;;7916;100,748708333333;F;;;;;;;;;;;;;;;;;;;;;;
22498;Vạn Long;Xã;571;Vạn Ninh;8081;100,748708333333;1236;1236;15,3%;F;;higher-middle income;;;;8081;100,748708333333;F;;;;;;;;;;;;;;;;;;;;;;
22513;Vạn Lương;Xã;571;Vạn Ninh;16857;100,748708333333;9688;10509;57,5%;E;;higher-middle income;;;;16857;100,748708333333;E;;;;;;;;;;;;;;;;;;;;;;
22510;Vạn Phú;Xã;571;Vạn Ninh;13541;102,121571428571;2170;2496;16,0%;F;;higher-middle income;;;;13541;102,121571428571;F;;;;;;;;;;;;;;;;;;;;;;
22495;Vạn Phước;Xã;571;Vạn Ninh;5588;100,748708333333;774;811;13,9%;F;;higher-middle income;;;;5588;100,748708333333;F;;;;;;;;;;;;;;;;;;;;;;
22519;Vạn Thạnh;Xã;571;Vạn Ninh;4486;100,748708333333;936;1069;20,9%;F;;higher-middle income;;;;4486;100,748708333333;F;;;;;;;;;;;;;;;;;;;;;;
